Year,Location,Treatment,HarvestNumber,time,N_application.kg.ha,P_application.kg.ha,K_application.kg.ha,DMLeaves#g.DM.m2,DMstems$g.DM.m2,DMRoots#g.DM.m2,Biomass#g.DM.m2,NUP_L#g.m2,NUP_ST#g.m2,NUP_SO#g.m2,NUP#g.m2,PUP_L#g.m2,PUP_ST#g.m2,PUP_SO#g.m2,PUP#g.m2,KUP_L#g.m2,KUP_ST#g.m2,KUP_SO#g.m2,KUP#g.m2,std_DMLeaves#g.DM.m2,std_DMstems#g.DM.m2,std_DMRoots#g.DM.m2,std_Biomass#g.DM.m2,std_NUP_L#g.m2,std_NUP_ST#g.m2,std_NUP_SO#g.m2,std_NUP#g.m2,std_PUP_L#g.m2,std_PUP_ST#g.m2,std_PUP_SO#g.m2,std_PUP#g.m2,std_KUP_L#g.m2,std_KUP_ST#g.m2,std_KUP_SO#g.m2,std_KUP#g.m2
2016,CRS,NfPfK2,1,304,300,100,180,203.2986111,360.1449073,528.5447917,1091.98831,9.631034677,3.348416973,4.778451843,17.75790349,0.904468062,0.616995465,0.497650117,2.019113644,4.088948572,3.810570368,4.35243084,12.25194978,51.43769959,107.0313052,222.0907551,351.4071719,2.436801047,0.995114554,2.007871413,5.128098644,0.228844438,0.183364608,0.209109033,0.582211633,1.034567364,1.132461717,1.828860424,3.707687934
2016,CRS,NfPfK2,2,419,300,100,180,21.40925929,721.1458334,734.5739583,1477.129051,0.673557265,8.321109954,5.269424449,14.26409167,0.030388144,0.934039809,0.853987469,1.818415423,0.160759896,4.507824264,6.474857751,11.14344191,2.000619768,64.04064663,178.4423557,243.7279719,0.062941551,0.738947987,1.280046075,2.071672338,0.002839665,0.082946487,0.207450229,0.292265948,0.015022445,0.400312901,1.572869358,1.982921247
2016,CRS,NfPfK2,3,602,300,100,180,188.125,1430.333333,1922.5,3540.958333,8.770559063,9.084774553,8.147637821,26.00297144,0.573398615,1.025345664,1.147512643,2.746256922,2.424775269,6.172366751,10.206435,18.80357702,31.66888699,155.2581184,185.2025918,290.2148659,1.476432393,0.986123284,0.784896562,2.770236148,0.096525693,0.111297999,0.110544768,0.262057635,0.408185696,0.669990712,0.98322924,1.676874595
2016,CRS,NfPfK3,3,602,300,100,120,157.625,1394.694445,1659.708333,3212.027778,6.952253403,10.61434044,6.76349225,24.33008609,0.484187743,1.192152315,0.959989524,2.636329582,1.558286711,4.157600806,6.437485999,12.15337352,57.48053715,204.1192519,131.9779565,358.0291709,2.535253038,1.553452255,0.537824549,4.43170218,0.176566988,0.174476381,0.076337181,0.401724202,0.568254764,0.608481929,0.511900935,1.541010917
2016,CRS,NfPfK4,3,602,300,100,60,82.90277777,1043.555588,1426.6875,2553.145866,3.76501118,6.762254778,4.564356421,15.09162238,0.272441848,0.826395364,0.7813323,1.880169513,0.739372413,3.346580533,5.791006725,9.876959672,41.76368566,233.8809437,216.1962813,240.3632366,1.896688478,1.51555178,0.691669959,3.131398695,0.137247219,0.185211147,0.118400938,0.285169463,0.37247144,0.750033273,0.877553156,1.046194354
2016,CRS,NfPfKf,1,304,300,100,300,203.0541667,398.0329861,706.1778646,1307.265017,10.18325688,4.602739149,6.63712358,21.42311961,0.799940617,0.848985712,0.724281158,2.373207486,4.280205558,4.916012383,6.370966894,15.56718484,20.60812315,45.05784411,66.46723404,109.255725,1.033506553,0.52103597,0.624702739,1.892213042,0.081186587,0.096106271,0.068171161,0.201739733,0.434401346,0.556498902,0.599651403,1.31726418
2016,CRS,NfPfKf,2,419,300,100,300,27.01157404,615.7662037,891.7621528,1534.539931,0.938222594,8.952030166,7.250940073,17.14119283,0.048627612,1.145580885,1.011008276,2.205216773,0.221309583,4.85235385,7.606881845,12.68054528,8.585143294,89.75103283,17.46268671,76.34640492,0.298197188,1.30480359,0.141989537,1.017338222,0.015455412,0.166974197,0.019797791,0.146146593,0.070339273,0.70725507,0.148959668,0.597025744
2016,CRS,NfPfKf,3,602,300,100,300,302.7133333,1630.111111,2866.354167,4799.178611,12.12683834,11.47933375,13.09680982,36.70298191,0.992767575,1.503736487,1.8336634,4.330167461,3.352668064,7.531982624,15.27988979,26.16454048,138.9349209,431.3393336,629.5599664,1137.038786,5.565798198,3.037515746,2.876555608,10.24676677,0.455645884,0.397899683,0.402741951,1.128369662,1.538758359,1.993017741,3.356042675,6.311128084
2016,CRS,NfPfKfMn,3,602,300,100,300,190.1944445,1630.111111,2866.354167,4686.659722,8.323030017,10.60159134,12.32603647,31.25065782,0.552592723,1.111452057,1.633224756,3.297269536,2.272503877,7.145547652,13.41300704,22.83105857,50.28117701,431.3393336,629.5599664,1082.125418,2.200336328,2.80525868,2.707264578,7.077768795,0.146087403,0.294098351,0.358718031,0.747046229,0.600775538,1.890764219,2.946004496,5.181660594
2016,CRS,NOTF,1,304,150,40,180,185.25,293.3101851,635.3142361,1113.874421,9.183434279,2.825924937,4.868718736,16.87807795,0.696405338,0.475610414,0.587979177,1.759994929,3.751505515,3.690822463,5.225909547,12.66823752,63.99670407,46.02771139,253.8261322,363.7574075,3.172521057,0.443458373,1.945191805,5.558769241,0.240581087,0.074635181,0.234914428,0.549892729,1.295999936,0.579182448,2.087899707,3.96154694
2016,CRS,NOTF,2,419,150,40,180,21.3125,661.7416667,839.8750001,1522.929167,0.668955488,8.166263947,6.169814447,15.00503388,0.0325198,0.84097355,0.868135232,1.741628582,0.162183473,4.347635914,7.502499298,12.01231869,7.526775123,106.7232996,219.4048323,262.051474,0.236249972,1.317025477,1.611772114,2.357570273,0.011484773,0.135629169,0.226787397,0.287483214,0.057277116,0.701170976,1.959916178,2.202309561
2016,CRS,NOTF,3,602,150,40,180,116.6111111,938.111111,1949.395833,3004.118055,4.858632472,7.373144456,8.2442384,20.47601533,0.330981208,0.674359671,1.086239987,2.091580867,1.21819586,4.585051592,9.733331661,15.53657911,11.24361956,224.3316822,330.1268242,384.6071002,0.468468352,1.763149247,1.396147562,2.552915063,0.031913141,0.161260471,0.18395287,0.256662788,0.117458196,1.096429116,1.648322939,1.954840818
2016,CRS,NOTH,3,602,75,20,90,72.76111112,603.55,1342.5,2018.811111,2.835536288,3.513810141,3.702187441,10.05153387,0.161986612,0.347615232,0.660192875,1.169794718,0.594850422,2.365728435,6.824575686,9.785154542,24.24273278,228.612024,169.5654372,416.9793711,0.94475122,1.33095725,0.467607473,2.707901861,0.053971113,0.131669326,0.08338614,0.265545577,0.198193782,0.896088088,0.861982987,1.93108484
2016,Edo,Control,1,282,0,0,0,96.97685181,121.1197917,311.3808594,529.4775029,3.474469952,1.178373128,4.325460684,8.978303764,0.172793517,0.227196414,0.385799963,0.785789894,0.517024002,0.456910837,3.363692605,4.337627444,19.97290953,49.48556027,87.42153347,136.1296503,0.715585964,0.481444474,1.21439194,2.139742742,0.035587764,0.092824977,0.108315021,0.204792577,0.106483902,0.186678729,0.94437136,1.125760746
2016,Edo,Control,2,406,0,0,0,42.89398148,361.1967593,615.1059027,1019.196644,1.700853226,3.531690494,2.639467616,7.872011335,0.074965725,0.412322842,0.344100693,0.83138926,0.349621186,1.00435452,1.51080031,2.864776016,5.807470918,169.783601,171.8464733,338.8566412,0.23028069,1.660101078,0.73740668,2.316121211,0.010149705,0.19381585,0.096133837,0.285734812,0.047335659,0.472105362,0.422082936,0.876458485
2016,Edo,Control,3,582,0,0,0,153.8055556,818.125,1121.104167,2093.034722,7.363792078,7.01070621,5.044976228,19.41947452,0.510452142,0.755030766,0.723575764,1.989058672,1.730460018,1.789106577,5.284837283,8.804403877,129.3905944,159.5195424,181.1587522,457.2020758,6.19487008,1.366960607,0.815215593,8.149328163,0.429423409,0.147217311,0.116922304,0.670758604,1.455768288,0.348843346,0.85397464,2.572408379
2016,Edo,N0PfKf,3,582,0,100,300,201.3888889,1259.444445,1702.041667,3162.875,9.503083558,10.58611781,5.599233635,25.688435,0.773099134,1.556619858,1.059135663,3.388854655,2.390119592,4.954133489,7.295047685,14.63930077,45.20880052,424.3306277,85.14707711,404.7976225,2.133300458,3.566663091,0.280109699,4.588081467,0.17354922,0.524454639,0.052984782,0.577886625,0.536546184,1.669141169,0.36494523,1.717989522
2016,Edo,NfP0Kf,3,582,300,0,300,282.3888889,1770.972222,1939.864583,3993.225695,15.07490642,15.54062397,7.989520085,38.60505047,0.966323471,1.200256553,0.969019896,3.13559992,4.315044032,9.846490106,10.83868182,25.00021596,69.54566515,369.166745,420.4291617,840.9438439,3.712590811,3.239509629,1.731578204,8.119541537,0.237982482,0.250198619,0.210016836,0.658350701,1.062692688,2.052543036,2.34908042,5.248072529
2016,Edo,NfPfK0,3,582,300,100,0,68.89506173,1033.888889,1282.916667,2385.700617,3.44105408,11.71098092,11.61045741,26.76249241,0.329826518,1.6318441,0.965735316,2.927405934,0.52734488,2.18911872,3.300356931,6.016820531,24.87327508,144.8672365,130.9580433,38.52213738,1.242328297,1.640928208,1.185176578,1.690806563,0.119077703,0.228651984,0.098580688,0.248209889,0.190388018,0.306736616,0.336895059,0.15930948
2016,Edo,NfPfK1,3,582,300,100,240,329.6388889,2558.055556,2462.760417,5350.454861,13.53673529,21.31851038,10.76118111,45.61642678,0.793935462,2.747779655,1.469300917,5.011016033,2.324616092,9.91608925,10.7344855,22.97519084,6.591415535,751.9853742,661.7464865,1340.537524,0.270678765,6.266950682,2.891541434,8.840869686,0.015875428,0.807758107,0.394802804,1.1516538,0.046482715,2.915008655,2.884368294,5.508207403
2016,Edo,NfPfK2,1,282,300,100,180,332,310.3703703,474.1666667,1116.537037,13.48325782,3.436082151,7.492498178,24.41183815,0.596970674,0.655578486,0.937423465,2.189972625,2.336956824,2.596562543,5.891812603,10.82533197,88.41595979,56.5582404,161.2183784,210.5310547,3.590768619,0.626151137,2.547476428,4.279081587,0.15898113,0.119464901,0.318727362,0.4186465,0.622362291,0.473166973,2.003237554,2.298014139
2016,Edo,NfPfK2,2,406,300,100,180,227.3347222,1385.513889,1457.857639,3070.70625,9.055823986,17.90297445,10.49471973,37.45351817,0.413200549,1.001521402,1.132780169,2.547502121,1.330205704,6.342650911,7.598777187,15.2716338,64.89626073,613.7901437,370.086989,1033.39047,2.585126939,7.931114477,2.664155348,12.65254714,0.117954575,0.443679396,0.287563882,0.823340879,0.379728074,2.809828646,1.929000812,5.029507531
2016,Edo,NfPfK2,3,582,300,100,180,232.0046297,1977.013889,2410.270833,4619.289352,11.43667628,21.54809905,14.15657276,47.14134809,0.915816328,2.537006019,1.604090893,5.05691324,2.641477822,7.467543134,9.894249095,20.00327005,30.39516082,450.8157314,159.5047797,630.2998819,1.498330508,4.913583101,0.9368412,6.919301447,0.119982022,0.578509959,0.106154114,0.768129698,0.346062677,1.70281349,0.654772899,2.594417037
2016,Edo,NfPfK3,3,582,300,100,120,169.9027778,1744.565972,2099.989583,4014.458333,8.437974343,17.83073356,11.93460511,38.20331301,0.680869819,1.873492084,1.447471139,4.001833042,1.662871898,5.105212691,8.749025322,15.51710991,47.71254224,381.1189018,498.452696,913.4596225,2.369574014,3.895312474,2.832793143,8.558765819,0.191203643,0.409284176,0.343571176,0.897577561,0.466972034,1.115287748,2.076665186,3.539689224
2016,Edo,NfPfK4,3,582,300,100,60,176.5,1976.736111,1969.291667,4122.527778,8.488384585,22.42535331,11.2963355,42.21007339,0.7354537,3.470677416,1.537787724,5.74391884,1.507540463,4.782986799,6.540314023,12.83084128,38.04931011,765.4544404,321.4273424,1034.787613,1.829899022,8.683802644,1.843785337,11.32529644,0.158546776,1.343955536,0.250997366,1.631633164,0.324990791,1.852123034,1.067508582,2.941418347
2016,Edo,NfPfKf,1,282,300,100,300,349.6527778,489.5069444,805.125,1644.284722,11.72256557,5.004949827,12.04139411,28.7689095,0.518844652,1.065455671,1.784390019,3.368690342,2.232798467,5.253806508,10.05829135,17.54489632,99.84279596,111.5029123,208.6625191,345.3928585,3.34736,1.140058355,3.12074228,5.693088388,0.148155267,0.242696067,0.462456533,0.732913152,0.63757206,1.196744465,2.606785792,3.89693815
2016,Edo,NfPfKf,2,406,300,100,300,223.9583333,1607.268518,1806.722917,3637.949768,8.691974781,18.11286746,13.07058655,39.87542879,0.414431682,1.073419021,1.384621765,2.872472468,1.733186324,7.799454726,8.593005344,18.12564639,70.3002904,340.9488887,38.51774123,257.4393786,2.72840194,3.842271507,0.278653393,2.406680068,0.130089679,0.227703721,0.029518916,0.132505762,0.544045404,1.654493566,0.183195305,1.136865376
2016,Edo,NfPfKf,3,582,300,100,300,319.375,1834.625,3546.9375,5700.9375,15.145854,17.60996512,18.95395237,51.70977149,1.225399411,2.329016479,2.925697569,6.480113459,4.342554599,9.959173512,18.09390764,32.39563575,72.30166838,57.80597936,141.3329679,126.8372789,3.428792213,0.554860683,0.755248251,2.118683279,0.277411888,0.073383432,0.116578744,0.087449712,0.983088665,0.313796977,0.720978497,0.051686808
2016,Edo,NfPfKfMn,3,582,300,100,300,439.2083334,2851.361111,3478.708333,6769.277778,15.79853978,23.32285725,19.61919999,58.74059701,0.933879926,3.27001962,2.317903576,6.521803122,4.20559085,9.872509742,12.10989977,26.18800037,155.4705727,338.1940253,710.1485357,1118.665564,5.592352968,2.766275707,4.005091777,10.49062115,0.33057398,0.387850242,0.473180179,1.047959771,1.488691285,1.170957897,2.472132403,4.469124664
2016,Edo,NOTF,1,282,150,40,180,279.267361,307.2867064,584.6614584,1171.215526,9.741815613,3.126879718,6.753245699,19.62194103,0.439835138,0.480747102,0.849374107,1.769956348,1.858525595,2.779689283,4.828445182,9.466660059,128.9945805,170.4383047,221.5320073,513.9035966,4.499779043,1.73434147,2.558848465,8.690784853,0.203161404,0.266649091,0.321833342,0.781051479,0.858459537,1.541770337,1.829529103,4.172424273
2016,Edo,NOTF,2,406,150,40,180,122.0277778,1033.737037,1088.859375,2244.62419,4.970518902,11.85893369,5.955300452,22.78475305,0.247273238,0.740190431,0.874644335,1.862108004,0.89131602,5.118484289,6.365688894,12.3754892,55.43155081,255.9739787,408.5852434,714.040524,2.257875839,2.936509317,2.234675975,7.332112612,0.112324745,0.183285964,0.328202867,0.616092443,0.404883463,1.267439147,2.388670756,4.023256831
2016,Edo,NOTF,3,582,150,40,180,177.1738095,1290.5,2247.364583,3715.038393,7.912494232,12.57497853,10.95576433,31.44323709,0.64485292,1.373889735,1.244932623,3.263675278,1.3105809,3.90368125,8.780868246,13.9951304,6.87655859,257.3673202,404.294735,660.6978908,0.307103687,2.507856276,1.970912005,4.712605773,0.025028354,0.273997923,0.22395997,0.515430136,0.050866922,0.77851994,1.579654154,2.38187249
2016,Edo,NOTH,3,582,75,20,90,135.5555556,1051.944444,1611.020833,2798.520833,6.500730695,11.31173615,7.494378603,25.30684544,0.541591249,1.188334796,0.903088853,2.633014898,1.343823584,3.039567278,5.278020123,9.661410986,11.62562223,142.9830588,413.1618381,554.6265084,0.557520781,1.537520962,1.922005709,3.434047458,0.046448375,0.161521594,0.231605851,0.389913211,0.115250056,0.413145988,1.35359919,1.75477935
2017,Benue,Control,1,304,0,0,0,60.29166667,96.4357639,290.4882813,447.2157118,2.64899742,0.586116764,1.126349699,4.361463883,0.160228973,0.103163046,0.253388033,0.516780052,0.685827406,0.813738686,2.173783885,3.673349976,7.038543671,20.37906851,66.62707136,66.73753351,0.309248111,0.123859792,0.2583422,0.122847644,0.018705381,0.021800696,0.058117672,0.048696228,0.080064566,0.171961477,0.498584154,0.483319104
2017,Benue,Control,2,415,0,0,0,18.76041666,127.421875,398.5026042,544.6848958,0.680450081,0.894408069,1.823067932,3.397926083,0.035944061,0.160594209,0.390786191,0.587324461,0.135991924,0.8563332,3.264668697,4.256993821,5.515258585,23.10321503,45.65155232,69.90854365,0.200041301,0.162167618,0.208846517,0.514989792,0.010566972,0.029117783,0.044767578,0.078379217,0.039979423,0.155264157,0.373993024,0.538595335
2017,Benue,Control,3,531,0,0,0,92.98239091,293.3866567,587.8906251,974.2596727,2.643540365,1.261879205,1.74554272,5.65096229,0.183792685,0.169831741,0.410182077,0.763806503,0.88642786,1.498306074,3.807061335,6.191795269,14.28561754,15.88284911,433.1307987,437.4837606,0.118078034,0.046776803,1.24951668,1.32500512,0.016474162,0.043626982,0.296280452,0.257042096,0.104858325,0.13937513,2.980866492,3.056618067
